befragung_typ;zielgruppe;teilnehmer_id;befragung_status;antwort_datum;berufliche_klarheit_baseline_1_5;selbstsicherheit_uebergang_schule_beruf_baseline_1_5
baseline;jugendliche;J077;abgeschlossen;2026-04-23;3;4
baseline;jugendliche;J078;abgeschlossen;2026-04-24;3;3
baseline;jugendliche;J079;abgeschlossen;2026-04-25;3;2
baseline;jugendliche;J080;abgeschlossen;2026-04-26;4;3
baseline;jugendliche;J081;abgeschlossen;2026-04-27;2;3
baseline;jugendliche;J082;abgeschlossen;2026-04-28;3;2
baseline;jugendliche;J083;abgeschlossen;2026-04-29;3;3
baseline;jugendliche;J084;abgeschlossen;2026-04-30;3;4
baseline;jugendliche;J085;abgeschlossen;2026-05-01;4;2
baseline;jugendliche;J086;abgeschlossen;2026-05-02;2;3
baseline;jugendliche;J087;abgeschlossen;2026-05-03;3;3
baseline;jugendliche;J088;abgeschlossen;2026-05-04;3;2
baseline;jugendliche;J089;abgeschlossen;2026-05-05;3;3
baseline;jugendliche;J090;abgeschlossen;2026-05-06;4;3
baseline;jugendliche;J091;abgeschlossen;2026-05-07;2;3
baseline;jugendliche;J092;abgeschlossen;2026-05-08;3;3
baseline;jugendliche;J093;abgeschlossen;2026-05-09;3;3
baseline;jugendliche;J094;abgeschlossen;2026-05-10;3;2
baseline;jugendliche;J095;abgeschlossen;2026-05-11;4;3
baseline;jugendliche;J096;abgeschlossen;2026-05-12;2;3
baseline;jugendliche;J097;abgeschlossen;2026-05-13;3;2
baseline;jugendliche;J098;abgeschlossen;2026-05-14;3;4
baseline;jugendliche;J099;abgeschlossen;2026-05-15;3;3
baseline;jugendliche;J100;abgeschlossen;2026-05-16;4;2
baseline;jugendliche;J101;abgeschlossen;2026-05-17;2;3
baseline;jugendliche;J102;abgeschlossen;2026-05-18;3;3
baseline;jugendliche;J103;abgeschlossen;2026-05-19;3;2
baseline;jugendliche;J104;abgeschlossen;2026-05-20;3;3
baseline;jugendliche;J105;abgeschlossen;2026-05-21;4;4
