treffen_id;tandem_id;datum;dauer_minuten;ort;thema;dokumentiert_von;naechster_schritt;teilnahme_jugendliche;teilnahme_mentor;berichtszeitraum;tandem_gebildet_2026;programm_gesamt_tandems_gebildet_2026;treffen_durchgefuehrt;zaehlt_fuer_10_treffen_ziel;kumulierte_durchgefuehrte_treffen_2026;tandem_bisherige_durchgefuehrte_treffen_2026_bis_30_09;zielwert_mindest_treffen_pro_tandem_2026;tandem_geplante_weitere_treffen_bis_31_03_2027;tandem_erwartete_treffen_innerhalb_eines_jahres;ziel_output_90_prozent_tandems_10_treffen_unterstuetzt;karriereschritt_evidenz;karriereschritt_typ;ziel_outcome_80_prozent_karriereschritte_unterstuetzt;jugendliche_mehr_selbstvertrauen_beobachtet;ziel_outcome_100_prozent_mehr_selbstvertrauen_unterstuetzt;jugendliche_selbstwirksamkeit_basiswert_1_5;jugendliche_selbstwirksamkeit_aktueller_wert_1_5;selbstwirksamkeit_verbesserung_prozent;ziel_outcome_selbstwirksamkeit_plus_20_prozent_unterstuetzt;mentor_sozial_eingebunden_beobachtet;mentor_selbstwirksam_beobachtet;ziel_outcome_mentorinnen_sozial_eingebunden_selbstwirksam_unterstuetzt
TR0011;T007;16.05.2026;90;Park;Lebenslauf besprochen;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;1;4;10;6;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0012;T007;21.06.2026;45;zuhause bei Mentor:in;Praktikumssuche;Jugendliche/r;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;umgesetzt;"Praktikumssuche oder Praktikumsplatz vorbereitet; Bewerbung erstellt oder versendet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0013;T009;13.04.2026;60;Bibliothek;gemeinsamer Spaziergang;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0014;T009;15.05.2026;45;online (Video-Call);Kennenlernen;Mentor:in;nichts Konkretes vereinbart;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0015;T010;18.04.2026;;Café;Lebenslauf besprochen;Koordination (telefonisch berichtet);gemeinsam Lebenslauf fertigstellen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0016;T010;10.06.2026;60;online (Video-Call);Kennenlernen;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0017;T012;15.04.2026;60;Bibliothek;freies Gespräch;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;vorbereitet;Kontakt zu Unternehmen vorbereitet;ja;nein;nein;3;4;33;ja;ja;ja;ja
TR0018;T012;11.06.2026;60;Park;gemeinsamer Spaziergang;Mentor:in;;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;nein;nein
TR0019;T013;16.05.2026;120;Park;Praktikumssuche;Koordination (telefonisch berichtet);nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0020;T013;04.06.2026;90;Jugendzentrum;Bewerbungsschreiben;Jugendliche/r;gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;umgesetzt;"Lebenslauf erstellt oder verbessert; Bewerbung erstellt oder versendet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0021;T014;14.05.2026;60;Jugendzentrum;Vorbereitung Vorstellungsgespräch;Jugendliche/r;;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;umgesetzt;Vorstellungsgespraech vorbereitet;ja;ja;ja;3;4;33;ja;ja;nein;nein
TR0022;T015;23.04.2026;45;Park;Zukunftspläne;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;umgesetzt;"Bewerbung erstellt oder versendet; konkrete Zukunftsplaene geklaert";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0023;T015;01.06.2026;90;Bibliothek;Café-Treffen, offenes Gespräch;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;ja;ja
TR0024;T019;19.04.2026;45;Café;gemeinsamer Spaziergang;Mentor:in;gemeinsam Lebenslauf fertigstellen;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0025;T019;07.05.2026;;online (Video-Call);Berufsorientierung allgemein;Jugendliche/r;Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0026;T019;01.06.2026;90;Bibliothek;Lebenslauf besprochen;Jugendliche/r;Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;"Lebenslauf erstellt oder verbessert; Kontakt zu Unternehmen vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0027;T020;09.04.2026;45;Café;Vorbereitung Vorstellungsgespräch;Jugendliche/r;Kontakt zu Unternehmen X herstellen;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;4;10;6;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0028;T020;19.05.2026;120;Park;Café-Treffen, offenes Gespräch;Koordination (telefonisch berichtet);gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;umgesetzt;Lebenslauf erstellt oder verbessert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0029;T020;12.06.2026;90;Park;Café-Treffen, offenes Gespräch;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0030;T022;13.04.2026;90;Park;Berufsorientierung allgemein;Jugendliche/r;Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;vorbereitet;"Berufsorientierung bearbeitet; Kontakt zu Unternehmen vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0031;T022;17.05.2026;;online (Video-Call);Café-Treffen, offenes Gespräch;Jugendliche/r;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0032;T022;18.06.2026;;online (Video-Call);gemeinsamer Spaziergang;Jugendliche/r;Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;3;4;10;6;10;ja;vorbereitet;Kontakt zu Unternehmen vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0033;T025;03.04.2026;120;Jugendzentrum;gemeinsamer Spaziergang;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0034;T025;19.05.2026;60;zuhause bei Mentor:in;Ausbildungsmöglichkeiten recherchiert;Koordination (telefonisch berichtet);gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;umgesetzt;"Lebenslauf erstellt oder verbessert; Ausbildungsmoeglichkeiten recherchiert";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0035;T026;15.04.2026;60;Café;Kennenlernen;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0036;T026;17.06.2026;60;online (Video-Call);freies Gespräch;Koordination (telefonisch berichtet);nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;2;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;ja;ja
TR0037;T027;27.04.2026;60;zuhause bei Mentor:in;Vorbereitung Vorstellungsgespräch;Mentor:in;gemeinsam Lebenslauf fertigstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0038;T027;28.05.2026;90;Jugendzentrum;Berufsorientierung allgemein;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;"Praktikumssuche oder Praktikumsplatz vorbereitet; Berufsorientierung bearbeitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0039;T029;04.04.2026;60;Café;Kennenlernen;Jugendliche/r;gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;Lebenslauf erstellt oder verbessert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0040;T029;15.05.2026;60;Bibliothek;Berufsorientierung allgemein;Mentor:in;;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0041;T029;15.06.2026;;Bibliothek;Praktikumssuche;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;2;2;10;8;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0042;T031;24.04.2026;60;Park;Café-Treffen, offenes Gespräch;Mentor:in;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;ja;ja
TR0043;T031;02.05.2026;60;Jugendzentrum;Zukunftspläne;Mentor:in;Kontakt zu Unternehmen X herstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0044;T031;01.06.2026;;Café;Schule/Noten;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;vorbereitet;Kontakt zu Unternehmen vorbereitet;ja;nein;nein;3;4;33;ja;ja;ja;ja
TR0045;T032;28.05.2026;60;Jugendzentrum;Bewerbungsschreiben;Jugendliche/r;;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0046;T032;17.06.2026;90;Bibliothek;Ausbildungsmöglichkeiten recherchiert;Mentor:in;;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;Ausbildungsmoeglichkeiten recherchiert;ja;ja;ja;3;4;33;ja;ja;nein;nein
TR0047;T033;22.04.2026;;zuhause bei Mentor:in;Zukunftspläne;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0048;T033;28.05.2026;45;Café;Praktikumssuche;Mentor:in;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0049;T033;01.06.2026;60;Bibliothek;Lebenslauf besprochen;Mentor:in;;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0050;T034;01.05.2026;90;online (Video-Call);Kennenlernen;Mentor:in;;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;nein;nein
TR0051;T034;09.06.2026;;Park;Lebenslauf besprochen;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;1;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0052;T035;20.05.2026;;Jugendzentrum;Schule/Noten;Mentor:in;Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;vorbereitet;Kontakt zu Unternehmen vorbereitet;ja;nein;nein;3;4;33;ja;ja;ja;ja
TR0053;T035;02.06.2026;120;zuhause bei Mentor:in;Bewerbungsschreiben;Jugendliche/r;nichts Konkretes vereinbart;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;1;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0054;T036;09.06.2026;45;Jugendzentrum;freies Gespräch;Jugendliche/r;nichts Konkretes vereinbart;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0055;T037;31.04.2026;45;Bibliothek;Berufsorientierung allgemein;Mentor:in;nichts Konkretes vereinbart;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0056;T039;25.04.2026;60;Café;Vorbereitung Vorstellungsgespräch;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0057;T039;10.05.2026;60;zuhause bei Mentor:in;Lebenslauf besprochen;Koordination (telefonisch berichtet);;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0058;T039;21.06.2026;60;online (Video-Call);Bewerbungsschreiben;Koordination (telefonisch berichtet);gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;"Lebenslauf erstellt oder verbessert; Bewerbung erstellt oder versendet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0059;T040;12.04.2026;60;zuhause bei Mentor:in;freies Gespräch;Mentor:in;Kontakt zu Unternehmen X herstellen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0060;T040;01.05.2026;;Bibliothek;Zukunftspläne;Mentor:in;;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;vorbereitet;konkrete Zukunftsplaene geklaert;ja;ja;ja;3;4;33;ja;ja;nein;nein
TR0061;T041;27.04.2026;;zuhause bei Mentor:in;Vorbereitung Vorstellungsgespräch;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;"Bewerbung erstellt oder versendet; Vorstellungsgespraech vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0062;T043;05.04.2026;45;Bibliothek;Café-Treffen, offenes Gespräch;Koordination (telefonisch berichtet);nichts Konkretes vereinbart;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0063;T043;28.05.2026;60;zuhause bei Mentor:in;Ausbildungsmöglichkeiten recherchiert;Jugendliche/r;Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0064;T045;15.04.2026;60;Café;Bewerbungsschreiben;Mentor:in;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0065;T045;10.06.2026;45;online (Video-Call);Café-Treffen, offenes Gespräch;Koordination (telefonisch berichtet);;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;nein;nein
TR0066;T046;19.05.2026;60;online (Video-Call);Zukunftspläne;Jugendliche/r;;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0067;T046;15.06.2026;45;zuhause bei Mentor:in;Lebenslauf besprochen;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0068;T047;17.04.2026;60;online (Video-Call);gemeinsamer Spaziergang;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;vorbereitet;Kontakt zu Unternehmen vorbereitet;ja;nein;nein;3;4;33;ja;ja;ja;ja
TR0069;T047;08.05.2026;;zuhause bei Mentor:in;Lebenslauf besprochen;Jugendliche/r;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;umgesetzt;"Praktikumssuche oder Praktikumsplatz vorbereitet; Lebenslauf erstellt oder verbessert";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0070;T047;28.06.2026;60;online (Video-Call);Praktikumssuche;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;3;4;10;6;10;ja;umgesetzt;"Praktikumssuche oder Praktikumsplatz vorbereitet; Bewerbung erstellt oder versendet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0071;T048;01.04.2026;60;Café;Vorbereitung Vorstellungsgespräch;Mentor:in;Kontakt zu Unternehmen X herstellen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0072;T048;11.06.2026;60;Park;Zukunftspläne;Jugendliche/r;gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;umgesetzt;"Lebenslauf erstellt oder verbessert; konkrete Zukunftsplaene geklaert";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0073;T049;08.05.2026;120;Jugendzentrum;Café-Treffen, offenes Gespräch;Koordination (telefonisch berichtet);nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;ja;ja
TR0074;T049;06.06.2026;;zuhause bei Mentor:in;Zukunftspläne;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0075;T050;13.04.2026;60;zuhause bei Mentor:in;Bewerbungsschreiben;Jugendliche/r;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;umgesetzt;"Praktikumssuche oder Praktikumsplatz vorbereitet; Bewerbung erstellt oder versendet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0076;T050;26.06.2026;45;Park;Kennenlernen;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0077;T052;04.04.2026;45;Bibliothek;Zukunftspläne;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;umgesetzt;"Bewerbung erstellt oder versendet; konkrete Zukunftsplaene geklaert";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0078;T052;28.05.2026;45;Jugendzentrum;Kennenlernen;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0079;T052;20.06.2026;60;zuhause bei Mentor:in;freies Gespräch;Jugendliche/r;gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;3;3;10;7;10;ja;umgesetzt;Lebenslauf erstellt oder verbessert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0080;T053;23.04.2026;45;Jugendzentrum;Schule/Noten;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0081;T054;04.04.2026;90;Café;gemeinsamer Spaziergang;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0082;T054;21.06.2026;;zuhause bei Mentor:in;Berufsorientierung allgemein;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0083;T055;04.05.2026;60;Jugendzentrum;gemeinsamer Spaziergang;Koordination (telefonisch berichtet);nichts Konkretes vereinbart;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
