workshop_id;datum;thema;jugend_id;anwesend;checkin_zeit;feedback_abgegeben
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J046;nein - krank;10:03;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J125;ja;09:58;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J168;verspätet;10:10;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J115;ja;10:10;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J068;nein - krank;10:03;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J129;ja;;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J178;ja;09:58;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J098;nein - krank;10:10;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J052;ja;09:58;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J123;ja;09:58;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J055;ja;;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J025;ja;10:22;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J161;nein - krank;10:22;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J153;ja;09:58;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J086;verspätet;09:58;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J007;nein - krank;10:00;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J095;ja;09:58;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J064;nein - krank;09:58;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J154;ja;10:03;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J915;ja;;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J146;nein - krank;;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J164;verspätet;;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J028;verspätet;;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J101;nein - krank;;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J013;ja;10:03;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J087;ja;10:22;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J005;ja;;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J075;ja;10:22;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J020;ja;10:22;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J072;nein - krank;10:03;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J027;ja;10:00;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J143;verspätet;10:10;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J130;nein - krank;;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J124;ja;09:58;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J106;verspätet;10:22;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J171;ja;10:10;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J043;ja;10:03;nein
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J044;ja;10:22;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J179;ja;10:00;ja
W06;13.06.2026;Bewerbungsunterlagen (Wiederholung);J159;ja;10:22;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J127;ja;;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J009;ja;10:22;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J168;ja;;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J916;ja;10:03;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J144;ja;10:03;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J019;ja;10:00;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J024;ja;10:03;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J086;ja;10:22;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J115;ja;10:10;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J150;ja;09:58;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J042;ja;10:00;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J101;ja;10:03;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J143;ja;10:00;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J091;ja;10:22;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J074;ja;09:58;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J033;nein - krank;09:58;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J092;ja;10:22;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J094;verspätet;09:58;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J023;nein - krank;10:03;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J063;ja;10:22;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J107;verspätet;09:58;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J053;ja;10:00;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J152;ja;10:00;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J077;ja;09:58;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J177;nein - krank;10:03;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J100;verspätet;09:58;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J176;ja;10:03;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J112;ja;10:03;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J135;ja;10:10;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J917;ja;10:10;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J022;ja;10:10;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J121;ja;10:00;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J020;ja;10:00;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J106;nein - krank;;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J034;ja;09:58;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J014;ja;10:03;ja
W07;27.06.2026;Online-Bewerbungen & Portale;J049;ja;09:58;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J140;nein - krank;10:00;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J002;ja;10:03;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J110;nein - krank;;nein
W07;27.06.2026;Online-Bewerbungen & Portale;J059;nein - krank;;ja
W08;11.07.2026;Vorstellungsgespräch üben;J114;ja;;nein
W08;11.07.2026;Vorstellungsgespräch üben;J119;ja;10:03;ja
W08;11.07.2026;Vorstellungsgespräch üben;J009;ja;10:00;ja
W08;11.07.2026;Vorstellungsgespräch üben;J164;nein - krank;10:22;ja
W08;11.07.2026;Vorstellungsgespräch üben;J159;ja;10:03;ja
W08;11.07.2026;Vorstellungsgespräch üben;J011;nein - krank;10:00;ja
W08;11.07.2026;Vorstellungsgespräch üben;J142;nein - krank;10:03;nein
W08;11.07.2026;Vorstellungsgespräch üben;J100;nein - krank;10:03;nein
W08;11.07.2026;Vorstellungsgespräch üben;J042;ja;;ja
W08;11.07.2026;Vorstellungsgespräch üben;J046;nein - krank;10:03;ja
W08;11.07.2026;Vorstellungsgespräch üben;J007;verspätet;09:58;ja
W08;11.07.2026;Vorstellungsgespräch üben;J126;ja;10:22;ja
W08;11.07.2026;Vorstellungsgespräch üben;J034;ja;10:03;ja
W08;11.07.2026;Vorstellungsgespräch üben;J173;ja;;nein
W08;11.07.2026;Vorstellungsgespräch üben;J168;ja;10:22;ja
W08;11.07.2026;Vorstellungsgespräch üben;J140;ja;09:58;nein
W08;11.07.2026;Vorstellungsgespräch üben;J165;ja;10:22;ja
W08;11.07.2026;Vorstellungsgespräch üben;J120;ja;;ja
W08;11.07.2026;Vorstellungsgespräch üben;J139;verspätet;10:00;ja
W08;11.07.2026;Vorstellungsgespräch üben;J095;verspätet;10:10;ja
W08;11.07.2026;Vorstellungsgespräch üben;J075;ja;09:58;ja
W08;11.07.2026;Vorstellungsgespräch üben;J174;ja;10:10;ja
W08;11.07.2026;Vorstellungsgespräch üben;J047;ja;10:22;ja
W08;11.07.2026;Vorstellungsgespräch üben;J079;nein - krank;10:00;ja
W08;11.07.2026;Vorstellungsgespräch üben;J130;verspätet;10:00;ja
W08;11.07.2026;Vorstellungsgespräch üben;J163;nein - krank;10:10;ja
W08;11.07.2026;Vorstellungsgespräch üben;J134;nein - krank;10:03;ja
W08;11.07.2026;Vorstellungsgespräch üben;J064;ja;10:22;ja
W08;11.07.2026;Vorstellungsgespräch üben;J050;ja;10:10;ja
W08;11.07.2026;Vorstellungsgespräch üben;J169;verspätet;;ja
W08;11.07.2026;Vorstellungsgespräch üben;J065;ja;10:03;nein
W08;11.07.2026;Vorstellungsgespräch üben;J072;ja;10:00;ja
W08;11.07.2026;Vorstellungsgespräch üben;J110;ja;09:58;nein
W08;11.07.2026;Vorstellungsgespräch üben;J176;ja;;nein
W08;11.07.2026;Vorstellungsgespräch üben;J918;ja;10:22;ja
W08;11.07.2026;Vorstellungsgespräch üben;J108;ja;10:22;nein
W08;11.07.2026;Vorstellungsgespräch üben;J086;verspätet;10:00;ja
W08;11.07.2026;Vorstellungsgespräch üben;J172;nein - krank;10:00;ja
W08;11.07.2026;Vorstellungsgespräch üben;J090;ja;10:00;nein
W08;11.07.2026;Vorstellungsgespräch üben;J157;ja;10:10;nein
W08;11.07.2026;Vorstellungsgespräch üben;J051;ja;10:03;nein
W08;11.07.2026;Vorstellungsgespräch üben;J078;nein - krank;10:22;ja
W08;11.07.2026;Vorstellungsgespräch üben;J060;nein - krank;10:03;ja
W08;11.07.2026;Vorstellungsgespräch üben;J144;nein - krank;;nein
W08;11.07.2026;Vorstellungsgespräch üben;J053;verspätet;10:00;nein
