treffen_id;tandem_id;datum;treffen_durchgefuehrt
TR00142;T015;28.04.2026;ja
TR00143;T015;12.05.2026;ja
TR00144;T015;09.06.2026;ja
TR00145;T015;30.06.2026;ja
TR00151;T016;10.04.2026;ja
TR00152;T016;24.04.2026;ja
TR00153;T016;08.05.2026;ja
TR00154;T016;05.06.2026;ja
TR00155;T016;26.06.2026;ja
TR00161;T017;11.04.2026;ja
TR00162;T017;25.04.2026;ja
TR00163;T017;09.05.2026;ja
TR00164;T017;06.06.2026;ja
TR00165;T017;27.06.2026;ja
TR00171;T018;12.04.2026;ja
TR00172;T018;26.04.2026;ja
TR00173;T018;10.05.2026;ja
TR00174;T018;07.06.2026;ja
TR00175;T018;28.06.2026;ja
TR00181;T019;13.04.2026;ja
TR00182;T019;27.04.2026;ja
TR00183;T019;11.05.2026;ja
TR00184;T019;08.06.2026;ja
TR00185;T019;29.06.2026;ja
TR00191;T020;14.04.2026;ja
TR00192;T020;28.04.2026;ja
TR00193;T020;12.05.2026;ja
TR00194;T020;09.06.2026;ja
TR00195;T020;30.06.2026;ja
TR00201;T021;10.04.2026;ja
TR00202;T021;24.04.2026;ja
TR00203;T021;08.05.2026;ja
TR00204;T021;05.06.2026;ja
TR00205;T021;26.06.2026;ja
TR00211;T022;11.04.2026;ja
TR00212;T022;25.04.2026;ja
TR00213;T022;09.05.2026;ja
TR00214;T022;06.06.2026;ja
TR00215;T022;27.06.2026;ja
TR00221;T023;12.04.2026;ja
TR00222;T023;26.04.2026;ja
TR00223;T023;10.05.2026;ja
TR00224;T023;07.06.2026;ja
TR00225;T023;28.06.2026;ja
TR00231;T024;13.04.2026;ja
TR00232;T024;27.04.2026;ja
TR00233;T024;11.05.2026;ja
TR00234;T024;08.06.2026;ja
TR00235;T024;29.06.2026;ja
TR00241;T025;14.04.2026;ja
TR00242;T025;28.04.2026;ja
TR00243;T025;12.05.2026;ja
TR00244;T025;09.06.2026;ja
TR00245;T025;30.06.2026;ja
TR00251;T026;10.04.2026;ja
TR00252;T026;24.04.2026;ja
TR00253;T026;08.05.2026;ja
TR00254;T026;05.06.2026;ja
TR00255;T026;26.06.2026;ja
TR00261;T027;11.04.2026;ja
TR00262;T027;25.04.2026;ja
TR00263;T027;09.05.2026;ja
TR00264;T027;06.06.2026;ja
TR00265;T027;27.06.2026;ja
TR00271;T028;12.04.2026;ja
TR00272;T028;26.04.2026;ja
TR00273;T028;10.05.2026;ja
TR00274;T028;07.06.2026;ja
TR00275;T028;28.06.2026;ja
TR00281;T029;13.04.2026;ja
TR00282;T029;27.04.2026;ja
TR00283;T029;11.05.2026;ja
TR00284;T029;08.06.2026;ja
TR00285;T029;29.06.2026;ja
TR00291;T030;14.04.2026;ja
TR00292;T030;28.04.2026;ja
TR00293;T030;12.05.2026;ja
TR00294;T030;09.06.2026;ja
TR00295;T030;30.06.2026;ja
TR00301;T031;10.04.2026;ja
TR00302;T031;24.04.2026;ja
TR00303;T031;08.05.2026;ja
TR00304;T031;05.06.2026;ja
TR00305;T031;26.06.2026;ja
TR00311;T032;11.04.2026;ja
TR00312;T032;25.04.2026;ja
TR00313;T032;09.05.2026;ja
TR00314;T032;06.06.2026;ja
TR00315;T032;27.06.2026;ja
TR00321;T033;12.04.2026;ja
TR00322;T033;26.04.2026;ja
TR00323;T033;10.05.2026;ja
TR00324;T033;07.06.2026;ja
TR00325;T033;28.06.2026;ja
TR00331;T034;13.04.2026;ja
TR00332;T034;27.04.2026;ja
TR00333;T034;11.05.2026;ja
TR00334;T034;08.06.2026;ja
TR00335;T034;29.06.2026;ja
TR00341;T035;14.04.2026;ja
TR00342;T035;28.04.2026;ja
TR00343;T035;12.05.2026;ja
TR00344;T035;09.06.2026;ja
TR00345;T035;30.06.2026;ja
TR00351;T036;10.04.2026;ja
TR00352;T036;24.04.2026;ja
TR00353;T036;08.05.2026;ja
TR00354;T036;05.06.2026;ja
TR00355;T036;26.06.2026;ja
TR00361;T037;11.04.2026;ja
TR00362;T037;25.04.2026;ja
TR00363;T037;09.05.2026;ja
TR00364;T037;06.06.2026;ja
TR00365;T037;27.06.2026;ja
TR00371;T038;12.04.2026;ja
TR00372;T038;26.04.2026;ja
TR00373;T038;10.05.2026;ja
TR00374;T038;07.06.2026;ja
TR00375;T038;28.06.2026;ja
TR00381;T039;13.04.2026;ja
TR00382;T039;27.04.2026;ja
TR00383;T039;11.05.2026;ja
TR00384;T039;08.06.2026;ja
TR00385;T039;29.06.2026;ja
TR00391;T040;14.04.2026;ja
TR00392;T040;28.04.2026;ja
TR00393;T040;12.05.2026;ja
TR00394;T040;09.06.2026;ja
TR00395;T040;30.06.2026;ja
TR00401;T041;10.04.2026;ja
TR00402;T041;24.04.2026;ja
TR00403;T041;08.05.2026;ja
TR00404;T041;05.06.2026;ja
TR00405;T041;26.06.2026;ja
TR00411;T042;11.04.2026;ja
TR00412;T042;25.04.2026;ja
TR00413;T042;09.05.2026;ja
TR00414;T042;06.06.2026;ja
TR00415;T042;27.06.2026;ja
TR00421;T043;12.04.2026;ja
TR00422;T043;26.04.2026;ja
TR00423;T043;10.05.2026;ja
TR00424;T043;07.06.2026;ja
TR00425;T043;28.06.2026;ja
TR00431;T044;13.04.2026;ja
TR00432;T044;27.04.2026;ja
TR00433;T044;11.05.2026;ja
TR00434;T044;08.06.2026;ja
TR00435;T044;29.06.2026;ja
TR00441;T045;14.04.2026;ja
TR00442;T045;28.04.2026;ja
TR00443;T045;12.05.2026;ja
TR00444;T045;09.06.2026;ja
TR00445;T045;30.06.2026;ja
TR00451;T046;10.04.2026;ja
TR00452;T046;24.04.2026;ja
TR00453;T046;08.05.2026;ja
TR00454;T046;05.06.2026;ja
TR00455;T046;26.06.2026;ja
TR00461;T047;11.04.2026;ja
TR00462;T047;25.04.2026;ja
TR00463;T047;09.05.2026;ja
TR00464;T047;06.06.2026;ja
TR00465;T047;27.06.2026;ja
TR00471;T048;12.04.2026;ja
TR00472;T048;26.04.2026;ja
TR00473;T048;10.05.2026;ja
TR00474;T048;07.06.2026;ja
TR00475;T048;28.06.2026;ja
TR00481;T049;13.04.2026;ja
TR00482;T049;27.04.2026;ja
TR00483;T049;11.05.2026;ja
TR00484;T049;08.06.2026;ja
TR00485;T049;29.06.2026;ja
TR00491;T050;14.04.2026;ja
TR00492;T050;28.04.2026;ja
TR00493;T050;12.05.2026;ja
TR00494;T050;09.06.2026;ja
TR00495;T050;30.06.2026;ja
TR00501;T051;10.04.2026;ja
TR00502;T051;24.04.2026;ja
TR00503;T051;08.05.2026;ja
TR00504;T051;05.06.2026;ja
TR00505;T051;26.06.2026;ja
TR00511;T052;11.04.2026;ja
TR00512;T052;25.04.2026;ja
TR00513;T052;09.05.2026;ja
TR00514;T052;06.06.2026;ja
TR00515;T052;27.06.2026;ja
TR00521;T053;12.04.2026;ja
TR00522;T053;26.04.2026;ja
TR00523;T053;10.05.2026;ja
TR00524;T053;07.06.2026;ja
TR00525;T053;28.06.2026;ja
TR00531;T054;13.04.2026;ja
TR00532;T054;27.04.2026;ja
TR00533;T054;11.05.2026;ja
TR00534;T054;08.06.2026;ja
TR00535;T054;29.06.2026;ja
TR00541;T055;14.04.2026;ja
TR00542;T055;28.04.2026;ja
TR00543;T055;12.05.2026;ja
TR00544;T055;09.06.2026;ja
TR00545;T055;30.06.2026;ja
TR00551;T056;10.04.2026;ja
TR00552;T056;24.04.2026;ja
TR00553;T056;08.05.2026;ja
TR00554;T056;05.06.2026;ja
TR00555;T056;26.06.2026;ja
TR00561;T057;11.04.2026;ja
TR00562;T057;25.04.2026;ja
TR00563;T057;09.05.2026;ja
TR00564;T057;06.06.2026;ja
TR00565;T057;27.06.2026;ja
TR00571;T058;12.04.2026;ja
TR00572;T058;26.04.2026;ja
TR00573;T058;10.05.2026;ja
TR00574;T058;07.06.2026;ja
TR00575;T058;28.06.2026;ja
TR00581;T059;13.04.2026;ja
TR00582;T059;27.04.2026;ja
TR00583;T059;11.05.2026;ja
TR00584;T059;08.06.2026;ja
TR00585;T059;29.06.2026;ja
TR00591;T060;14.04.2026;ja
TR00592;T060;28.04.2026;ja
TR00593;T060;12.05.2026;ja
TR00594;T060;09.06.2026;ja
TR00595;T060;30.06.2026;ja
TR00601;T061;10.04.2026;ja
TR00602;T061;24.04.2026;ja
TR00603;T061;08.05.2026;ja
TR00604;T061;05.06.2026;ja
TR00605;T061;26.06.2026;ja
TR00611;T062;11.04.2026;ja
TR00612;T062;25.04.2026;ja
TR00613;T062;09.05.2026;ja
TR00614;T062;06.06.2026;ja
TR00615;T062;27.06.2026;ja
TR00621;T063;12.04.2026;ja
TR00622;T063;26.04.2026;ja
TR00623;T063;10.05.2026;ja
TR00624;T063;07.06.2026;ja
TR00625;T063;28.06.2026;ja
TR00631;T064;13.04.2026;ja
TR00632;T064;27.04.2026;ja
TR00633;T064;11.05.2026;ja
TR00634;T064;08.06.2026;ja
TR00635;T064;29.06.2026;ja
TR00641;T065;14.04.2026;ja
TR00642;T065;28.04.2026;ja
TR00643;T065;12.05.2026;ja
TR00644;T065;09.06.2026;ja
TR00645;T065;30.06.2026;ja
TR00651;T066;10.04.2026;ja
TR00652;T066;24.04.2026;ja
TR00653;T066;08.05.2026;ja
TR00654;T066;05.06.2026;ja
TR00655;T066;26.06.2026;ja
TR00661;T067;11.04.2026;ja
TR00662;T067;25.04.2026;ja
TR00663;T067;09.05.2026;ja
TR00664;T067;06.06.2026;ja
TR00665;T067;27.06.2026;ja
TR00671;T068;12.04.2026;ja
TR00672;T068;26.04.2026;ja
TR00673;T068;10.05.2026;ja
TR00674;T068;07.06.2026;ja
TR00675;T068;28.06.2026;ja
TR00681;T069;13.04.2026;ja
TR00682;T069;27.04.2026;ja
TR00683;T069;11.05.2026;ja
TR00684;T069;08.06.2026;ja
TR00685;T069;29.06.2026;ja
TR00691;T070;14.04.2026;ja
TR00692;T070;28.04.2026;ja
TR00693;T070;12.05.2026;ja
TR00694;T070;09.06.2026;ja
TR00695;T070;30.06.2026;ja
TR00701;T071;10.04.2026;ja
TR00702;T071;24.04.2026;ja
TR00703;T071;08.05.2026;ja
TR00704;T071;05.06.2026;ja
TR00705;T071;26.06.2026;ja
TR00711;T072;11.04.2026;ja
TR00712;T072;25.04.2026;ja
TR00713;T072;09.05.2026;ja
TR00714;T072;06.06.2026;ja
TR00715;T072;27.06.2026;ja
TR00721;T073;12.04.2026;ja
TR00722;T073;26.04.2026;ja
TR00723;T073;10.05.2026;ja
TR00724;T073;07.06.2026;ja
TR00725;T073;28.06.2026;ja
TR00731;T074;13.04.2026;ja
TR00732;T074;27.04.2026;ja
TR00733;T074;11.05.2026;ja
TR00734;T074;08.06.2026;ja
TR00735;T074;29.06.2026;ja
TR00741;T075;14.04.2026;ja
TR00742;T075;28.04.2026;ja
TR00743;T075;12.05.2026;ja
TR00744;T075;09.06.2026;ja
TR00745;T075;30.06.2026;ja
TR00751;T076;10.04.2026;ja
TR00752;T076;24.04.2026;ja
TR00753;T076;08.05.2026;ja
TR00754;T076;05.06.2026;ja
TR00755;T076;26.06.2026;ja
TR00761;T077;11.04.2026;ja
TR00762;T077;25.04.2026;ja
TR00763;T077;09.05.2026;ja
TR00764;T077;06.06.2026;ja
TR00765;T077;27.06.2026;ja
TR00771;T078;12.04.2026;ja
TR00772;T078;26.04.2026;ja
TR00773;T078;10.05.2026;ja
TR00774;T078;07.06.2026;ja
TR00775;T078;28.06.2026;ja
TR00781;T079;13.04.2026;ja
TR00782;T079;27.04.2026;ja
TR00783;T079;11.05.2026;ja
TR00784;T079;08.06.2026;ja
TR00785;T079;29.06.2026;ja
TR00791;T080;14.04.2026;ja
TR00792;T080;28.04.2026;ja
TR00793;T080;12.05.2026;ja
TR00794;T080;09.06.2026;ja
TR00795;T080;30.06.2026;ja
TR00801;T081;10.04.2026;ja
TR00802;T081;24.04.2026;ja
TR00803;T081;08.05.2026;ja
TR00804;T081;05.06.2026;ja
TR00805;T081;26.06.2026;ja
TR00811;T082;11.04.2026;ja
TR00812;T082;25.04.2026;ja
TR00813;T082;09.05.2026;ja
TR00814;T082;06.06.2026;ja
TR00815;T082;27.06.2026;ja
TR00821;T083;12.04.2026;ja
TR00822;T083;26.04.2026;ja
TR00823;T083;10.05.2026;ja
TR00824;T083;07.06.2026;ja
TR00825;T083;28.06.2026;ja
TR00831;T084;13.04.2026;ja
TR00832;T084;27.04.2026;ja
TR00833;T084;11.05.2026;ja
TR00834;T084;08.06.2026;ja
TR00835;T084;29.06.2026;ja
TR00841;T085;14.04.2026;ja
TR00842;T085;28.04.2026;ja
TR00843;T085;12.05.2026;ja
TR00844;T085;09.06.2026;ja
TR00845;T085;30.06.2026;ja
TR00851;T086;10.04.2026;ja
TR00852;T086;24.04.2026;ja
TR00853;T086;08.05.2026;ja
TR00854;T086;05.06.2026;ja
TR00855;T086;26.06.2026;ja
TR00861;T087;11.04.2026;ja
TR00862;T087;25.04.2026;ja
TR00863;T087;09.05.2026;ja
TR00864;T087;06.06.2026;ja
TR00865;T087;27.06.2026;ja
TR00871;T088;12.04.2026;ja
TR00872;T088;26.04.2026;ja
TR00873;T088;10.05.2026;ja
TR00874;T088;07.06.2026;ja
TR00875;T088;28.06.2026;ja
TR00881;T089;13.04.2026;ja
TR00882;T089;27.04.2026;ja
TR00883;T089;11.05.2026;ja
TR00884;T089;08.06.2026;ja
TR00885;T089;29.06.2026;ja
TR00891;T090;14.04.2026;ja
TR00892;T090;28.04.2026;ja
TR00893;T090;12.05.2026;ja
TR00894;T090;09.06.2026;ja
TR00895;T090;30.06.2026;ja
TR00901;T091;10.04.2026;ja
TR00902;T091;24.04.2026;ja
TR00903;T091;08.05.2026;ja
TR00904;T091;05.06.2026;ja
TR00905;T091;26.06.2026;ja
TR00911;T092;11.04.2026;ja
TR00912;T092;25.04.2026;ja
TR00913;T092;09.05.2026;ja
TR00914;T092;06.06.2026;ja
TR00915;T092;27.06.2026;ja
TR00921;T093;12.04.2026;ja
TR00922;T093;26.04.2026;ja
TR00923;T093;10.05.2026;ja
TR00924;T093;07.06.2026;ja
TR00925;T093;28.06.2026;ja
TR00931;T094;13.04.2026;ja
TR00932;T094;27.04.2026;ja
TR00933;T094;11.05.2026;ja
TR00934;T094;08.06.2026;ja
TR00935;T094;29.06.2026;ja
TR00941;T095;14.04.2026;ja
TR00942;T095;28.04.2026;ja
TR00943;T095;12.05.2026;ja
TR00944;T095;09.06.2026;ja
TR00945;T095;30.06.2026;ja
TR00951;T096;10.04.2026;ja
TR00952;T096;24.04.2026;ja
TR00953;T096;08.05.2026;ja
TR00954;T096;05.06.2026;ja
TR00955;T096;26.06.2026;ja
TR00961;T097;11.04.2026;ja
TR00962;T097;25.04.2026;ja
TR00963;T097;09.05.2026;ja
TR00964;T097;06.06.2026;ja
TR00965;T097;27.06.2026;ja
TR00971;T098;12.04.2026;ja
TR00972;T098;26.04.2026;ja
TR00973;T098;10.05.2026;ja
TR00974;T098;07.06.2026;ja
TR00975;T098;28.06.2026;ja
TR00981;T099;13.04.2026;ja
TR00982;T099;27.04.2026;ja
TR00983;T099;11.05.2026;ja
TR00984;T099;08.06.2026;ja
TR00985;T099;29.06.2026;ja
TR00991;T100;14.04.2026;ja
TR00992;T100;28.04.2026;ja
TR00993;T100;12.05.2026;ja
TR00994;T100;09.06.2026;ja
TR00995;T100;30.06.2026;ja
TR01001;T101;10.04.2026;ja
TR01002;T101;24.04.2026;ja
TR01003;T101;08.05.2026;ja
TR01004;T101;05.06.2026;ja
TR01005;T101;26.06.2026;ja
TR01011;T102;11.04.2026;ja
TR01012;T102;25.04.2026;ja
TR01013;T102;09.05.2026;ja
TR01014;T102;06.06.2026;ja
TR01015;T102;27.06.2026;ja
TR01021;T103;12.04.2026;ja
TR01022;T103;26.04.2026;ja
TR01023;T103;10.05.2026;ja
TR01024;T103;07.06.2026;ja
TR01025;T103;28.06.2026;ja
TR01031;T104;13.04.2026;ja
TR01032;T104;27.04.2026;ja
TR01033;T104;11.05.2026;ja
TR01034;T104;08.06.2026;ja
TR01035;T104;29.06.2026;ja
TR01041;T105;14.04.2026;ja
TR01042;T105;28.04.2026;ja
TR01043;T105;12.05.2026;ja
TR01044;T105;09.06.2026;ja
TR01045;T105;30.06.2026;ja
TR01051;T106;10.04.2026;ja
TR01052;T106;24.04.2026;ja
TR01053;T106;08.05.2026;ja
TR01054;T106;05.06.2026;ja
TR01055;T106;26.06.2026;ja
TR01061;T107;11.04.2026;ja
TR01062;T107;25.04.2026;ja
TR01063;T107;09.05.2026;ja
TR01064;T107;06.06.2026;ja
TR01065;T107;27.06.2026;ja
TR01071;T108;12.04.2026;ja
TR01072;T108;26.04.2026;ja
TR01073;T108;10.05.2026;ja
TR01074;T108;07.06.2026;ja
TR01075;T108;28.06.2026;ja
TR01081;T109;13.04.2026;ja
TR01082;T109;27.04.2026;ja
TR01083;T109;11.05.2026;ja
TR01084;T109;08.06.2026;ja
TR01085;T109;29.06.2026;ja
TR01091;T110;14.04.2026;ja
TR01092;T110;28.04.2026;ja
TR01093;T110;12.05.2026;ja
TR01094;T110;09.06.2026;ja
TR01095;T110;30.06.2026;ja
TR01101;T111;10.04.2026;ja
TR01102;T111;24.04.2026;ja
TR01103;T111;08.05.2026;ja
TR01104;T111;05.06.2026;ja
TR01105;T111;26.06.2026;ja
TR01111;T112;11.04.2026;ja
TR01112;T112;25.04.2026;ja
TR01113;T112;09.05.2026;ja
TR01114;T112;06.06.2026;ja
TR01115;T112;27.06.2026;ja
TR01121;T113;12.04.2026;ja
TR01122;T113;26.04.2026;ja
TR01123;T113;10.05.2026;ja
TR01124;T113;07.06.2026;ja
TR01125;T113;28.06.2026;ja
TR01131;T114;13.04.2026;ja
TR01132;T114;27.04.2026;ja
TR01133;T114;11.05.2026;ja
TR01134;T114;08.06.2026;ja
TR01135;T114;29.06.2026;ja
TR01141;T115;14.04.2026;ja
TR01142;T115;28.04.2026;ja
TR01143;T115;12.05.2026;ja
TR01144;T115;09.06.2026;ja
TR01145;T115;30.06.2026;ja
TR01151;T116;10.04.2026;ja
TR01152;T116;24.04.2026;ja
TR01153;T116;08.05.2026;ja
TR01154;T116;05.06.2026;ja
TR01155;T116;26.06.2026;ja
TR01161;T117;11.04.2026;ja
TR01162;T117;25.04.2026;ja
TR01163;T117;09.05.2026;ja
TR01164;T117;06.06.2026;ja
TR01165;T117;27.06.2026;ja
TR01171;T118;19.04.2026;ja
TR01172;T118;14.06.2026;ja
TR01175;T119;20.04.2026;ja
TR01176;T119;15.06.2026;ja
TR01179;T120;21.04.2026;ja
TR01180;T120;16.06.2026;ja
TR01183;T121;17.04.2026;ja
TR01184;T121;12.06.2026;ja
TR01187;T122;18.04.2026;ja
TR01188;T122;13.06.2026;ja
TR01191;T123;19.04.2026;ja
TR01192;T123;14.06.2026;ja
TR01195;T124;20.04.2026;ja
TR01196;T124;15.06.2026;ja
TR01199;T125;21.04.2026;ja
TR01200;T125;16.06.2026;ja
TR01203;T126;17.04.2026;ja
TR01204;T126;12.06.2026;ja
TR01207;T127;18.04.2026;ja
TR01208;T127;13.06.2026;ja
TR01211;T128;19.04.2026;ja
TR01212;T128;14.06.2026;ja
TR01215;T129;20.04.2026;ja
TR01216;T129;15.06.2026;ja
TR01219;T130;21.04.2026;ja
TR01220;T130;16.06.2026;ja
